"jurisdiction","report_year","total_robberies"
"Albuquerque","1975",819
"Albuquerque","1976",871
"Albuquerque","1977",754
"Albuquerque","1978",694
"Albuquerque","1979",815
"Albuquerque","1980",914
"Albuquerque","1981",1107
"Albuquerque","1982",926
"Albuquerque","1983",909
"Albuquerque","1984",1215
"Albuquerque","1985",1247
"Albuquerque","1986",1248
"Albuquerque","1987",987
"Albuquerque","1988",928
"Albuquerque","1989",1032
"Albuquerque","1990",1030
"Albuquerque","1991",1307
"Albuquerque","1992",1460
"Albuquerque","1993",1552
"Albuquerque","1994",1434
"Albuquerque","1995",1623
"Albuquerque","1996",1998
"Albuquerque","1997",1729
"Albuquerque","1998",1693
"Albuquerque","1999",1667
"Albuquerque","2000",1547
"Albuquerque","2001",1610
"Albuquerque","2002",1295
"Albuquerque","2003",1080
"Albuquerque","2004",1238
"Albuquerque","2005",1150
"Albuquerque","2006",1171
"Albuquerque","2007",1439
"Albuquerque","2008",1350
"Albuquerque","2009",1103
"Albuquerque","2010",940
"Albuquerque","2011",998
"Albuquerque","2012",1092
"Albuquerque","2013",1046
"Albuquerque","2014",1381
"Albuquerque","2015",1686
"Arlington","1975",113
"Arlington","1976",99
"Arlington","1977",85
"Arlington","1978",132
"Arlington","1979",190
"Arlington","1980",196
"Arlington","1981",212
"Arlington","1982",191
"Arlington","1983",186
"Arlington","1984",200
"Arlington","1985",299
"Arlington","1986",518
"Arlington","1987",511
"Arlington","1988",568
"Arlington","1989",552
"Arlington","1990",586
"Arlington","1991",700
"Arlington","1992",725
"Arlington","1993",710
"Arlington","1994",654
"Arlington","1995",521
"Arlington","1996",618
"Arlington","1997",527
"Arlington","1998",506
"Arlington","1999",546
"Arlington","2000",595
"Arlington","2001",687
"Arlington","2002",794
"Arlington","2003",598
"Arlington","2004",662
"Arlington","2005",768
"Arlington","2006",890
"Arlington","2007",742
"Arlington","2008",694
"Arlington","2009",672
"Arlington","2010",532
"Arlington","2011",540
"Arlington","2012",532
"Arlington","2013",562
"Arlington","2014",493
"Arlington","2015",529
"Atlanta","1975",3887
"Atlanta","1976",3380
"Atlanta","1977",3354
"Atlanta","1978",4119
"Atlanta","1979",5189
"Atlanta","1980",4733
"Atlanta","1981",4537
"Atlanta","1982",3999
"Atlanta","1983",3552
"Atlanta","1984",4029
"Atlanta","1985",4792
"Atlanta","1986",5428
"Atlanta","1987",5100
"Atlanta","1988",5972
"Atlanta","1989",6796
"Atlanta","1990",6109
"Atlanta","1991",6479
"Atlanta","1992",5824
"Atlanta","1993",6045
"Atlanta","1994",5343
"Atlanta","1995",5260
"Atlanta","1996",4805
"Atlanta","1997",4751
"Atlanta","1998",4658
"Atlanta","1999",4072
"Atlanta","2000",4322
"Atlanta","2001",4341
"Atlanta","2002",4168
"Atlanta","2003",3701
"Atlanta","2004",3116
"Atlanta","2005",2861
"Atlanta","2006",2959
"Atlanta","2007",3577
"Atlanta","2008",3308
"Atlanta","2009",2725
"Atlanta","2010",2162
"Atlanta","2011",2343
"Atlanta","2012",2276
"Atlanta","2013",2363
"Atlanta","2014",2329
"Atlanta","2015",1995
"Aurora","1975",171
"Aurora","1976",166
"Aurora","1977",166
"Aurora","1978",232
"Aurora","1979",351
"Aurora","1980",351
"Aurora","1981",359
"Aurora","1982",353
"Aurora","1983",333
"Aurora","1984",317
"Aurora","1985",434
"Aurora","1986",580
"Aurora","1987",524
"Aurora","1988",462
"Aurora","1989",378
"Aurora","1990",397
"Aurora","1991",564
"Aurora","1992",672
"Aurora","1993",740
"Aurora","1994",623
"Aurora","1995",549
"Aurora","1996",559
"Aurora","1997",501
"Aurora","1998",477
"Aurora","1999",455
"Aurora","2000",473
"Aurora","2001",472
"Aurora","2002",546
"Aurora","2003",572
"Aurora","2004",554
"Aurora","2005",644
"Aurora","2006",600
"Aurora","2007",584
"Aurora","2008",555
"Aurora","2009",553
"Aurora","2010",507
"Aurora","2011",507
"Aurora","2012",482
"Aurora","2013",469
"Aurora","2014",414
"Aurora","2015",447
"Austin","1975",529
"Austin","1976",518
"Austin","1977",512
"Austin","1978",635
"Austin","1979",577
"Austin","1980",678
"Austin","1981",669
"Austin","1982",635
"Austin","1983",665
"Austin","1984",768
"Austin","1985",1076
"Austin","1986",1124
"Austin","1987",985
"Austin","1988",1018
"Austin","1989",1019
"Austin","1990",1461
