"jurisdiction","report_year","total_homicides"
"Albuquerque","1975",30
"Albuquerque","1976",28
"Albuquerque","1977",31
"Albuquerque","1978",37
"Albuquerque","1979",47
"Albuquerque","1980",49
"Albuquerque","1981",45
"Albuquerque","1982",26
"Albuquerque","1983",24
"Albuquerque","1984",28
"Albuquerque","1985",42
"Albuquerque","1986",49
"Albuquerque","1987",48
"Albuquerque","1988",49
"Albuquerque","1989",41
"Albuquerque","1990",34
"Albuquerque","1991",51
"Albuquerque","1992",42
"Albuquerque","1993",50
"Albuquerque","1994",45
"Albuquerque","1995",53
"Albuquerque","1996",70
"Albuquerque","1997",49
"Albuquerque","1998",37
"Albuquerque","1999",48
"Albuquerque","2000",33
"Albuquerque","2001",34
"Albuquerque","2002",51
"Albuquerque","2003",51
"Albuquerque","2004",41
"Albuquerque","2005",53
"Albuquerque","2006",34
"Albuquerque","2007",47
"Albuquerque","2008",38
"Albuquerque","2009",56
"Albuquerque","2010",42
"Albuquerque","2011",38
"Albuquerque","2012",41
"Albuquerque","2013",37
"Albuquerque","2014",30
"Albuquerque","2015",43
"Arlington","1975",5
"Arlington","1976",5
"Arlington","1977",4
"Arlington","1978",6
"Arlington","1979",11
"Arlington","1980",7
"Arlington","1981",12
"Arlington","1982",7
"Arlington","1983",7
"Arlington","1984",13
"Arlington","1985",18
"Arlington","1986",22
"Arlington","1987",18
"Arlington","1988",13
"Arlington","1989",11
"Arlington","1990",8
"Arlington","1991",26
"Arlington","1992",16
"Arlington","1993",7
"Arlington","1994",18
"Arlington","1995",9
"Arlington","1996",17
"Arlington","1997",12
"Arlington","1998",13
"Arlington","1999",11
"Arlington","2000",14
"Arlington","2001",15
"Arlington","2002",14
"Arlington","2003",9
"Arlington","2004",14
"Arlington","2005",24
"Arlington","2006",14
"Arlington","2007",13
"Arlington","2008",23
"Arlington","2009",12
"Arlington","2010",16
"Arlington","2011",22
"Arlington","2012",17
"Arlington","2013",18
"Arlington","2014",13
"Arlington","2015",8
"Atlanta","1975",185
"Atlanta","1976",154
"Atlanta","1977",138
"Atlanta","1978",144
"Atlanta","1979",231
"Atlanta","1980",201
"Atlanta","1981",181
"Atlanta","1982",152
"Atlanta","1983",141
"Atlanta","1984",135
"Atlanta","1985",145
"Atlanta","1986",186
"Atlanta","1987",207
"Atlanta","1988",217
"Atlanta","1989",246
"Atlanta","1990",231
"Atlanta","1991",205
"Atlanta","1992",198
"Atlanta","1993",203
"Atlanta","1994",191
"Atlanta","1995",184
"Atlanta","1996",196
"Atlanta","1997",150
"Atlanta","1998",149
"Atlanta","1999",143
"Atlanta","2000",134
"Atlanta","2001",143
"Atlanta","2002",152
"Atlanta","2003",148
"Atlanta","2004",111
"Atlanta","2005",90
"Atlanta","2006",110
"Atlanta","2007",129
"Atlanta","2008",105
"Atlanta","2009",80
"Atlanta","2010",93
"Atlanta","2011",88
"Atlanta","2012",83
"Atlanta","2013",83
"Atlanta","2014",93
"Atlanta","2015",94
"Aurora","1975",7
"Aurora","1976",2
"Aurora","1977",3
"Aurora","1978",12
"Aurora","1979",9
"Aurora","1980",10
"Aurora","1981",10
"Aurora","1982",10
"Aurora","1983",12
"Aurora","1984",13
"Aurora","1985",10
"Aurora","1986",11
"Aurora","1987",20
"Aurora","1988",15
"Aurora","1989",7
"Aurora","1990",8
"Aurora","1991",11
"Aurora","1992",16
"Aurora","1993",19
"Aurora","1994",15
"Aurora","1995",18
"Aurora","1996",11
"Aurora","1997",17
"Aurora","1998",28
"Aurora","1999",11
"Aurora","2000",22
"Aurora","2001",17
"Aurora","2002",16
"Aurora","2003",18
"Aurora","2004",13
"Aurora","2005",28
"Aurora","2006",18
"Aurora","2007",14
"Aurora","2008",18
"Aurora","2009",19
"Aurora","2010",24
"Aurora","2011",12
"Aurora","2012",17
"Aurora","2013",20
"Aurora","2014",9
"Aurora","2015",24
"Austin","1975",33
"Austin","1976",24
"Austin","1977",33
"Austin","1978",35
"Austin","1979",43
"Austin","1980",43
"Austin","1981",39
"Austin","1982",57
"Austin","1983",58
"Austin","1984",59
"Austin","1985",52
"Austin","1986",48
"Austin","1987",39
"Austin","1988",43
"Austin","1989",31
"Austin","1990",46
"Austin","1991",49
"Austin","1992",37
"Austin","1993",37
"Austin","1994",37
"Austin","1995",46
"Austin","1996",40
"Austin","1997",40
"Austin","1998",32
"Austin","1999",21
"Austin","2000",32
"Austin","2001",26
"Austin","2002",25
"Austin","2003",27
"Austin","2004",26
"Austin","2005",26
"Austin","2006",20
"Austin","2007",30
"Austin","2008",23
"Austin","2009",22
"Austin","2010",38
"Austin","2011",27
"Austin","2012",31
"Austin","2013",26
"Austin","2014",32
"Austin","2015",23
"Baltimore","1975",259
"Baltimore","1976",200
"Baltimore","1977",171
"Baltimore","1978",197
"Baltimore","1979",245
"Baltimore","1980",216
"Baltimore","1981",228
"Baltimore","1982",227
"Baltimore","1983",201
"Baltimore","1984",215
"Baltimore","1985",213
"Baltimore","1986",240
"Baltimore","1987",226
"Baltimore","1988",234
"Baltimore","1989",262
"Baltimore","1990",305
"Baltimore","1991",304
"Baltimore","1992",335
"Baltimore","1993",353
"Baltimore","1994",321
"Baltimore","1995",322
"Baltimore","1996",330
"Baltimore","1997",312
"Baltimore","1998",313
"Baltimore","1999",305
"Baltimore","2000",261
"Baltimore","2001",256
"Baltimore","2002",253
"Baltimore","2003",270
"Baltimore","2004",276
"Baltimore","2005",269
"Baltimore","2006",276
"Baltimore","2007",282
"Baltimore","2008",234
"Baltimore","2009",238
"Baltimore","2010",223
"Baltimore","2011",197
"Baltimore","2012",216
"Baltimore","2013",233
"Baltimore","2014",211
"Baltimore","2015",344
"Baltimore County","1975",25
"Baltimore County","1976",19
"Baltimore County","1977",22
"Baltimore County","1978",27
"Baltimore County","1979",21
"Baltimore County","1980",26
"Baltimore County","1981",32
"Baltimore County","1982",33
"Baltimore County","1983",34
"Baltimore County","1984",28
"Baltimore County","1985",24
"Baltimore County","1986",31
"Baltimore County","1987",32
"Baltimore County","1988",24
"Baltimore County","1989",34
"Baltimore County","1990",34
"Baltimore County","1991",25
"Baltimore County","1992",43
"Baltimore County","1993",36
"Baltimore County","1994",31
"Baltimore County","1995",38
"Baltimore County","1996",34
"Baltimore County","1997",23
"Baltimore County","1998",21
"Baltimore County","1999",30
"Baltimore County","2000",33
"Baltimore County","2001",31
"Baltimore County","2002",29
"Baltimore County","2003",31
"Baltimore County","2004",28
"Baltimore County","2005",40
"Baltimore County","2006",34
"Baltimore County","2007",36
"Baltimore County","2008",30
"Baltimore County","2009",32
"Baltimore County","2010",20
"Baltimore County","2011",30
"Baltimore County","2012",24
"Baltimore County","2013",20
"Baltimore County","2014",25
"Baltimore County","2015",0
"Boston","1975",119
"Boston","1976",81
"Boston","1977",75
"Boston","1978",72
"Boston","1979",92
"Boston","1980",92
"Boston","1981",100
"Boston","1982",93
"Boston","1983",90
"Boston","1984",82
"Boston","1985",87
"Boston","1986",105
"Boston","1987",76
"Boston","1988",93
"Boston","1989",99
"Boston","1990",143
"Boston","1991",113
"Boston","1992",73
"Boston","1993",98
"Boston","1994",85
"Boston","1995",96
"Boston","1996",59
"Boston","1997",43
"Boston","1998",34
"Boston","1999",31
"Boston","2000",39
"Boston","2001",65
"Boston","2002",60
"Boston","2003",39
"Boston","2004",61
"Boston","2005",73
"Boston","2006",75
"Boston","2007",65
"Boston","2008",62
"Boston","2009",50
"Boston","2010",73
"Boston","2011",63
"Boston","2012",57
"Boston","2013",39
"Boston","2014",53
"Boston","2015",38
"Buffalo","1975",63
"Buffalo","1976",54
"Buffalo","1977",45
"Buffalo","1978",44
"Buffalo","1979",52
"Buffalo","1980",61
"Buffalo","1981",25
"Buffalo","1982",42
"Buffalo","1983",43
"Buffalo","1984",35
"Buffalo","1985",31
"Buffalo","1986",35
"Buffalo","1987",35
"Buffalo","1988",43
"Buffalo","1989",37
"Buffalo","1990",37
"Buffalo","1991",50
"Buffalo","1992",76
"Buffalo","1993",76
"Buffalo","1994",90
"Buffalo","1995",62
"Buffalo","1996",56
"Buffalo","1997",46
"Buffalo","1998",39
"Buffalo","1999",32
"Buffalo","2000",39
"Buffalo","2001",64
"Buffalo","2002",43
"Buffalo","2003",65
"Buffalo","2004",51
"Buffalo","2005",56
"Buffalo","2006",74
"Buffalo","2007",54
"Buffalo","2008",37
